kind,url,term,count
term_count,http://www.philly.com/philly/blogs/inthemix/Bass-player-Owen-Biddle-leaves-The-Roots-Mark-Kelley-joins-band.html,Talik,0
term_count,https://en.wikipedia.org#cite_ref-44,Talik,0
term_count,http://2dopeboyz.com/2016/10/18/the-roots-announce-end-game/,Talik,0
term_count,https://en.wikipedia.org#cite_ref-45,Talik,0
term_count,https://en.wikipedia.org#cite_ref-46,Talik,0
term_count,https://en.wikipedia.org#cite_ref-47,Talik,0
term_count,https://en.wikipedia.org#cite_ref-48,Talik,0
term_count,https://en.wikipedia.org/wiki/Esquire_(magazine),Talik,0
term_count,https://en.wikipedia.org/wiki/The_New_York_Times,Talik,0
term_count,https://en.wikipedia.org/wiki/Billboard_(magazine),Talik,0
term_count,https://www.billboard.com/music/music-news/the-roots-sept-27-2006-jacksonville-fla-plush-57076/,Talik,0
term_count,https://en.wikipedia.org#cite_ref-49,Talik,0
term_count,https://classic.esquire.com/article/2004/8/1/the-roots-reconsidered,Talik,0
term_count,https://en.wikipedia.org#cite_ref-50,Talik,0
term_count,https://en.wikipedia.org#cite_ref-51,Talik,0
term_count,http://www.billboard.com/articles/news/58007/jay-z-revives-reasonable-doubt-in-nyc,Talik,0
term_count,https://en.wikipedia.org#cite_ref-52,Talik,0
term_count,https://en.wikipedia.org#cite_ref-53,Talik,0
term_count,https://en.wikipedia.org#cite_ref-54,Talik,0
term_count,https://en.wikipedia.org#cite_ref-55,Talik,0
term_count,https://en.wikipedia.org#cite_ref-56,Talik,0
term_count,https://en.wikipedia.org#cite_ref-57,Talik,0
term_count,https://en.wikipedia.org#cite_ref-58,Talik,0
term_count,https://en.wikipedia.org#cite_ref-59,Talik,0
term_count,https://en.wikipedia.org/wiki/Austin_American-Statesman,Talik,0
term_count,https://en.wikipedia.org#cite_ref-60,Talik,0
term_count,https://en.wikipedia.org#cite_ref-61,Talik,0
term_count,https://en.wikipedia.org/wiki/Philadelphia_Media_Network,Talik,0
term_count,https://en.wikipedia.org#cite_ref-62,Talik,0
term_count,https://en.wikipedia.org/wiki/Gawker,Talik,0
term_count,http://www.philly.com/philly/blogs/inthemix/Review-The-Roots-Picnic-with-Macklemore--Ryan-Lewis-Gary-Clark-Jr-Grimes-Naughty-by-Nature-and-more.html,Talik,0
term_count,https://en.wikipedia.org#cite_ref-63,Talik,0
term_count,https://en.wikipedia.org/wiki/Daily_News_(New_York),Talik,0
term_count,http://www.nydailynews.com/entertainment/gossip/fallon-pull-roots-bring-tonight-article-1.1308240,Talik,0
term_count,https://en.wikipedia.org/wiki/HuffPost,Talik,0
term_count,https://en.wikipedia.org#cite_ref-64,Talik,0
term_count,https://www.huffpost.com/entry/roots-welcome-bachmann-wi_n_1107751,Talik,0
term_count,https://en.wikipedia.org#cite_ref-65,Talik,0
term_count,https://en.wikipedia.org/wiki/Entertainment_Weekly,Talik,0
term_count,http://www.covermesongs.com/2010/08/the-roots-sunday-bloody-sunday-pride-in-the-name-of-love.html,Talik,0
term_count,https://en.wikipedia.org#cite_ref-66,Talik,0
term_count,https://en.wikipedia.org#cite_ref-67,Talik,0
term_count,https://en.wikipedia.org/wiki/The_Wall_Street_Journal,Talik,0
term_count,https://en.wikipedia.org/wiki/Rolling_Stone,Talik,0
term_count,https://en.wikipedia.org#cite_ref-68,Talik,0
term_count,https://www.rollingstone.com/music/news/the-roots-must-clear-music-with-nbc-after-michele-bachmann-incident-20111209,Talik,0
term_count,http://www.ibtimes.com/bachmanns-iran-embassy-flub-gop-candidates-top-10-gaffes-video-377322,Talik,0
term_count,https://en.wikipedia.org#cite_ref-fire_69-0,Talik,0
term_count,https://en.wikipedia.org#cite_ref-fire_69-1,Talik,0
term_count,https://www.huffpost.com/entry/questlove-michele-bachman-fired-jimmy-fallon_n_3483466,Talik,0
term_count,https://en.wikipedia.org#cite_ref-70,Talik,0
term_count,https://www.rollingstone.com/music/news/the-roots-uestlove-on-life-on-jimmy-fallon-as-late-nights-hottest-house-band-20091120,Talik,0
term_count,https://en.wikipedia.org#cite_ref-71,Talik,0
term_count,https://en.wikipedia.org#cite_ref-72,Talik,0
term_count,https://www.huffpost.com/entry/obama-slow-jams-the-news-with-fallon_n_1450968,Talik,0
term_count,https://en.wikipedia.org#cite_ref-73,Talik,0
term_count,https://en.wikipedia.org#cite_ref-74,Talik,0
term_count,https://en.wikipedia.org/wiki/Politico,Talik,0
term_count,https://en.wikipedia.org#cite_ref-75,Talik,0
term_count,https://en.wikipedia.org#cite_ref-76,Talik,0
term_count,https://ghostarchive.org/varchive/youtube/20211102/vAFQIciWsF4,Talik,0
term_count,https://www.huffpost.com/entry/carly-rae-jepsen-jimmy-fallon-the-roots-call-me-maybe-video_n_1581355,Talik,0
term_count,https://www.youtube.com/watch?v=vAFQIciWsF4,Talik,0
term_count,https://www.huffpost.com/entry/jimmy-fallon-robin-thicke_n_3694670,Talik,0
term_count,https://en.wikipedia.org#cite_ref-77,Talik,0
term_count,https://en.wikipedia.org#cite_ref-78,Talik,0
term_count,https://ghostarchive.org/varchive/youtube/20211102/7HTJaJuA0Gw,Talik,0
term_count,https://www.youtube.com/watch?v=7HTJaJuA0Gw,Talik,0
term_count,https://en.wikipedia.org/wiki/Time_(magazine),Talik,0
term_count,https://en.wikipedia.org#cite_ref-79,Talik,0
term_count,https://pitchfork.com/news/watch-janet-jackson-and-the-roots-perform-runaway-on-classroom-instruments/,Talik,0
term_count,https://en.wikipedia.org#cite_ref-80,Talik,0
term_count,https://en.wikipedia.org#cite_ref-81,Talik,0
term_count,https://en.wikipedia.org#cite_ref-p5_82-0,Talik,0
term_count,https://en.wikipedia.org#cite_ref-p5_82-1,Talik,0
term_count,https://en.wikipedia.org#cite_ref-83,Talik,0
term_count,https://www.spin.com/2013/03/justin-timberlake-jimmy-fallons-history-of-rap-part-4-song-list-video/,Talik,0
term_count,https://www.spin.com/2014/02/justin-timberlake-jimmy-fallon-history-of-rap-part-5-song-list-video/,Talik,0
term_count,https://en.wikipedia.org#cite_ref-84,Talik,0
term_count,https://philadelphia.cbslocal.com/2014/11/04/the-roots-to-partner-with-their-philadelphia-alma-matter-capa/,Talik,0
term_count,https://www.hollywoodreporter.com/news/roots-questlove-philanthropy-why-schools-217522,Talik,0
term_count,https://en.wikipedia.org#cite_ref-85,Talik,0
term_count,https://en.wikipedia.org#cite_ref-86,Talik,0
term_count,http://usatoday30.usatoday.com/life/people/2007-03-03-naacp-winners-list_n.htm,Talik,0
term_count,https://en.wikipedia.org#cite_ref-87,Talik,0
term_count,https://en.wikipedia.org#cite_ref-HHD_88-0,Talik,0
term_count,https://en.wikipedia.org#cite_ref-HHD_88-1,Talik,0
term_count,https://en.wikipedia.org#cite_ref-89,Talik,0
term_count,https://en.wikipedia.org#cite_ref-90,Talik,0
term_count,https://en.wikipedia.org/wiki/Template:Cite_web,Talik,0
term_count,https://en.wikipedia.org#cite_ref-91,Talik,0
term_count,http://articles.philly.com/2004-04-21/news/25363302_1_hero-awards-james-jamerson-hall-of-fame-award,Talik,0
term_count,https://en.wikipedia.org#cite_ref-92,Talik,0
term_count,http://www.therootsarchive.com/?q=node/67,Talik,0
